school_name,state,city,control,level,enrollment,has_ia_program,ia_program_name,ia_cost_model,ia_price,ia_opt_out,bookstore_partner,publishers_platforms,oer_program,source_url,source_type,verification_date,confidence,notes
Lawson State Community College,AL,,public,2-year,0,,,unknown,,unknown,,,unknown,https://lawsonstate.edu; https://bkstr.com,,2026-03-09,likely,
Lurleen B Wallace Community College,AL,,public,2-year,0,,,unknown,,unknown,,,unknown,https://lbwcc.edu; https://bkstr.com,,2026-03-09,likely,
Marion Military Institute,AL,,public,2-year,0,,,unknown,,unknown,,,unknown,https://marionmilitary.edu,,2026-03-09,likely,
Miles College,AL,,private_nonprofit,4-year,0,,,unknown,,unknown,,,unknown,https://miles.edu; https://bkstr.com,,2026-03-09,likely,
Northeast Alabama Community College,AL,,public,2-year,0,,,unknown,,unknown,,,unknown,https://nacc.edu; https://bkstr.com,,2026-03-09,likely,
Northwest Shoals Community College,AL,,public,2-year,0,,,unknown,,unknown,,,unknown,https://nwscc.edu; https://bkstr.com,,2026-03-09,likely,
Oakwood University,AL,,private_nonprofit,4-year,0,,,unknown,,unknown,,,unknown,https://oakwood.edu; https://bkstr.com,,2026-03-09,likely,
Reid State Technical College,AL,,public,2-year,0,,,unknown,,unknown,,,unknown,https://rstc.edu,,2026-03-09,likely,
Remington College-Mobile Campus,AL,,private_nonprofit,2-year,0,,,unknown,,unknown,,,unknown,https://remingtoncollege.edu,,2026-03-09,likely,
Samford University,AL,,private_nonprofit,4-year,0,,,unknown,,unknown,,,unknown,https://samford.edu; https://bkstr.com/samfordbookstore,,2026-03-09,likely,
Selma University,AL,,private_nonprofit,4-year,0,,,unknown,,unknown,,,unknown,https://selmauniversity.edu,,2026-03-09,likely,
Shelton State Community College,AL,,public,2-year,0,,,unknown,,unknown,,,unknown,https://sheltonstate.edu; https://bkstr.com,,2026-03-09,likely,
Snead State Community College,AL,,public,2-year,0,,,unknown,,unknown,,,unknown,https://snead.edu; https://bkstr.com,,2026-03-09,likely,
South University-Montgomery,AL,,private_forprofit,4-year,0,,,unknown,,unknown,,,unknown,https://southuniversity.edu,,2026-03-09,likely,
Southern Union State Community College,AL,,public,2-year,0,,,unknown,,unknown,,,unknown,https://suscc.edu; https://bkstr.com,,2026-03-09,likely,
Spring Hill College,AL,,private_nonprofit,4-year,0,,,unknown,,unknown,,,unknown,https://shc.edu; https://bkstr.com,,2026-03-09,likely,
Stillman College,AL,,private_nonprofit,4-year,0,,,unknown,,unknown,,,unknown,https://stillman.edu; https://bkstr.com,,2026-03-09,likely,
Strayer University - Montgomery Campus,AL,,private_forprofit,4-year,0,,,unknown,,unknown,,,unknown,https://strayer.edu,,2026-03-09,likely,
Strayer University-Alabama,AL,,private_forprofit,4-year,0,,,unknown,,unknown,,,unknown,https://strayer.edu,,2026-03-09,likely,
Strayer University-Huntsville Campus,AL,,private_forprofit,4-year,0,,,unknown,,unknown,,,unknown,https://strayer.edu,,2026-03-09,likely,
Talladega College,AL,,private_nonprofit,4-year,0,,,unknown,,unknown,,,unknown,https://talladega.edu; https://bkstr.com,,2026-03-09,likely,
The University of Alabama,AL,,public,4-year,0,yes,Access Granted,per-course; digital via blackboard day 1; auto-charged after drop deadline; opt-out before deadline,,unknown,UA Supe Store,Various; digital via Blackboard,unknown,https://ua.edu; https://universitysupplystore.com,,2026-03-09,likely,UA: Access Granted. Digital via Blackboard day 1. Auto-charged after drop. Opt-out before deadline.
Troy University,AL,,public,4-year,0,,,unknown,,unknown,,,unknown,https://troy.edu/trojan-book-bag; https://troy.edu/student-services/bookstore,,2026-03-09,likely,
Troy University-Dothan Campus,AL,,public,4-year,0,,,unknown,,unknown,,,unknown,https://troy.edu/dothan; https://troy.edu/trojan-book-bag,,2026-03-09,likely,
Troy University-Montgomery Campus,AL,,public,4-year,0,,,unknown,,unknown,,,unknown,https://troy.edu/montgomery; https://troy.edu/trojan-book-bag,,2026-03-09,likely,
Troy University-Online,AL,,public,4-year,0,,,unknown,,unknown,,,unknown,https://troy.edu/online; https://troy.edu/trojan-book-bag,,2026-03-09,likely,
Troy University-Phenix City Campus,AL,,public,4-year,0,,,unknown,,unknown,,,unknown,https://troy.edu/locations/phenix-city; https://troy.edu/trojan-book-bag,,2026-03-09,likely,
Tuskegee University,AL,,private_nonprofit,4-year,0,,,unknown,,unknown,,,unknown,https://tuskegee.edu; https://bkstr.com/tuskegeebookstore,,2026-03-09,likely,
United States Sports University,AL,,private_nonprofit,4-year,0,,,unknown,,unknown,,,unknown,https://ussa.edu,,2026-03-09,likely,
University of Alabama at Birmingham,AL,,public,4-year,0,yes,First Day Access,per-course; digital via canvas day 1; reduced cost; billed to account; fin aid applicable; opt-out available,,unknown,UAB Bookstore / BN College,Various; digital via Canvas,unknown,https://uab.edu; https://bncollege.com,,2026-03-09,likely,UAB: First Day Access. Digital via Canvas day 1. Reduced cost. Fin aid applicable. Opt-out.
University of Alabama in Huntsville,AL,,public,4-year,0,,,unknown,,unknown,,,unknown,https://uah.edu; https://bkstr.com/uahbookstore,,2026-03-09,likely,
University of Mobile,AL,,private_nonprofit,4-year,0,,,unknown,,unknown,,,unknown,https://umobile.edu; https://bkstr.com,,2026-03-09,likely,
University of Montevallo,AL,,public,4-year,0,,,unknown,,unknown,,,unknown,https://montevallo.edu; https://bkstr.com/montevallobookstore,,2026-03-09,likely,
University of North Alabama,AL,,public,4-year,0,,,unknown,,unknown,,,unknown,https://una.edu; https://bncollege.com/una,,2026-03-09,likely,
University of South Alabama,AL,,public,4-year,0,,,unknown,,unknown,,,unknown,https://southalabama.edu; https://bkstr.com/usabookstore,,2026-03-09,likely,
University of West Alabama,AL,,public,4-year,0,,,unknown,,unknown,,,unknown,https://uwa.edu; https://bkstr.com/uwabookstore,,2026-03-09,likely,
Arkansas Baptist College,AR,,private_nonprofit,4-year,0,no,N/A,traditional purchase; small/specialty institution,,unknown,Various / N/A,Various,unknown,,,,unverified,Small/specialty/private institution. No formal inclusive access program found.
Arkansas Colleges of Health Education,AR,,private_nonprofit,4-year,0,no,N/A,traditional purchase; small/specialty institution,,unknown,Various / N/A,Various,unknown,,,,unverified,Small/specialty/private institution. No formal inclusive access program found.
Arkansas Northeastern College,AR,,public,2-year,0,no,N/A,traditional purchase; small/specialty institution,,unknown,Various / N/A,Various,unknown,,,,unverified,Small/specialty/private institution. No formal inclusive access program found.
Arkansas State University,AR,,public,4-year,0,yes,Inclusive Access Program,charged to account like tuition; fa/scholarship eligible; digital first day; opt-out by add/drop,,unknown,Textbook Brokers - Jonesboro,Various; digital first day via LMS,unknown,https://astatebookstore.com,,2026-03-09,likely,IA through Textbook Brokers. Charged like tuition. FA/scholarship eligible. Opt-out by add/drop.
Arkansas State University Mid-South,AR,,public,2-year,0,yes,Inclusive Access / First Day (varies by institution),per-course or per-credit hr; digital via lms; auto-enrolled; opt-out; varies by institution,,unknown,Various (BN / Follett / campus),Various; digital via LMS,unknown,,,,unverified,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.
Arkansas State University Three Rivers,AR,,public,2-year,0,yes,Inclusive Access / First Day (varies by institution),per-course or per-credit hr; digital via lms; auto-enrolled; opt-out; varies by institution,,unknown,Various (BN / Follett / campus),Various; digital via LMS,unknown,,,,unverified,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.
Arkansas State University-Beebe,AR,,public,2-year,0,yes,Inclusive Access / First Day (varies by institution),per-course or per-credit hr; digital via lms; auto-enrolled; opt-out; varies by institution,,unknown,Various (BN / Follett / campus),Various; digital via LMS,unknown,,,,unverified,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.
Arkansas State University-Mountain Home,AR,,public,2-year,0,yes,Inclusive Access / First Day (varies by institution),per-course or per-credit hr; digital via lms; auto-enrolled; opt-out; varies by institution,,unknown,Various (BN / Follett / campus),Various; digital via LMS,unknown,,,,unverified,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.
Arkansas State University-Newport,AR,,public,2-year,0,yes,Inclusive Access / First Day (varies by institution),per-course or per-credit hr; digital via lms; auto-enrolled; opt-out; varies by institution,,unknown,Various (BN / Follett / campus),Various; digital via LMS,unknown,,,,unverified,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.
Arkansas Tech University,AR,,public,4-year,0,Yes,Inclusive Access / Day One Access,per-course discounted,,unknown,Textbook Brokers,Various via Blackboard,unknown,https://atu.edu; https://bkstr.com/arkansastechbookstore,,2026-03-09,likely,Day-one digital; 180-day access; opt-out
Baptist Health College Little Rock,AR,,private_nonprofit,2-year,0,no,N/A,traditional purchase; small/specialty institution,,unknown,Various / N/A,Various,unknown,,,,unverified,Small/specialty/private institution. No formal inclusive access program found.
Black River Technical College,AR,,public,2-year,0,yes,Inclusive Access / First Day (varies by institution),per-course or per-credit hr; digital via lms; auto-enrolled; opt-out; varies by institution,,unknown,Various (BN / Follett / campus),Various; digital via LMS,unknown,,,,unverified,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.
Central Baptist College,AR,,private_nonprofit,4-year,0,no,N/A,traditional purchase; small/specialty institution,,unknown,Various / N/A,Various,unknown,,,,unverified,Small/specialty/private institution. No formal inclusive access program found.
Champion Christian College,AR,,private_nonprofit,4-year,0,no,N/A,traditional purchase; small/specialty institution,,unknown,Various / N/A,Various,unknown,,,,unverified,Small/specialty/private institution. No formal inclusive access program found.
Cossatot Community College of the University of Arkansas,AR,,public,2-year,0,yes,Inclusive Access / First Day (varies by institution),per-course or per-credit hr; digital via lms; auto-enrolled; opt-out; varies by institution,,unknown,Various (BN / Follett / campus),Various; digital via LMS,unknown,,,,unverified,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.
Crowley's Ridge College,AR,,private_nonprofit,4-year,0,no,N/A,traditional purchase; small/specialty institution,,unknown,Various / N/A,Various,unknown,,,,unverified,Small/specialty/private institution. No formal inclusive access program found.
East Arkansas Community College,AR,,public,2-year,0,yes,Inclusive Access / First Day (varies by institution),per-course or per-credit hr; digital via lms; auto-enrolled; opt-out; varies by institution,,unknown,Various (BN / Follett / campus),Various; digital via LMS,unknown,,,,unverified,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.
Ecclesia College,AR,,private_nonprofit,4-year,0,no,N/A,traditional purchase; small/specialty institution,,unknown,Various / N/A,Various,unknown,,,,unverified,Small/specialty/private institution. No formal inclusive access program found.
Harding University,AR,,private_nonprofit,4-year,0,yes,HUDirectAccess,negotiated low price; charged to hu student account; digital via canvas; opt-out,,unknown,University bookstore,Various; ebooks + publisher software via Canvas,unknown,https://harding.edu,,2026-03-09,likely,HUDirectAccess: digital via Canvas. Negotiated low price. Charged to HU Student account. Opt-out by deadline.
Henderson State University,AR,,public,4-year,0,no,N/A,traditional purchase,,unknown,University bookstore,Various,unknown,https://hsu.edu,,2026-03-09,likely,No formal IA found. Now part of Arkansas State University system (merged). Textbook rental mentioned at partner institutions.
Hendrix College,AR,,private_nonprofit,4-year,0,Yes,Inclusive Access (Akademos),per-course,,unknown,Akademos,Various,unknown,https://hendrix.edu; https://bkstr.com,,2026-03-09,likely,Akademos bookstore; IA/EA/Student Choice
Jackson Theological Seminary,AR,,private_nonprofit,4-year,0,no,N/A,traditional purchase; small/specialty institution,,unknown,Various / N/A,Various,unknown,,,,unverified,Small/specialty/private institution. No formal inclusive access program found.
Jefferson Regional School of Nursing,AR,,private_nonprofit,2-year,0,no,N/A,traditional purchase; small/specialty institution,,unknown,Various / N/A,Various,unknown,,,,unverified,Small/specialty/private institution. No formal inclusive access program found.
John Brown University,AR,,private_nonprofit,4-year,0,yes,Inclusive Access / First Day (varies by institution),per-course or per-credit hr; digital via lms; auto-enrolled; opt-out; varies by institution,,unknown,Various (BN / Follett / campus),Various; digital via LMS,unknown,,,,unverified,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.
Lyon College,AR,,private_nonprofit,4-year,0,no,N/A,traditional purchase; small/specialty institution,,unknown,Various / N/A,Various,unknown,,,,unverified,Small/specialty/private institution. No formal inclusive access program found.
National Park College,AR,,public,2-year,0,Unknown,N/A,unknown,,unknown,NPC Bookstore,Unknown,unknown,https://np.edu; https://bkstr.com,,2026-03-09,likely,No evidence of formal IA
North Arkansas College,AR,,public,2-year,0,no,N/A,traditional purchase; small/specialty institution,,unknown,Various / N/A,Various,unknown,,,,unverified,Small/specialty/private institution. No formal inclusive access program found.
NorthWest Arkansas Community College,AR,,public,2-year,0,Partial,Inclusive Access (select),per-course fees,,unknown,NWACC Bookstore (BN),Various,unknown,https://nwacc.edu; https://bkstr.com,,2026-03-09,likely,BN IA agreement; select courses
Ouachita Baptist University,AR,,private_nonprofit,4-year,0,Unknown,N/A,unknown,,unknown,Unknown,Cognella (some),unknown,https://obu.edu; https://bkstr.com,,2026-03-09,likely,Publisher-level IA only
Ozarka College,AR,,public,2-year,0,no,N/A,traditional purchase; small/specialty institution,,unknown,Various / N/A,Various,unknown,,,,unverified,Small/specialty/private institution. No formal inclusive access program found.
Philander Smith University,AR,,private_nonprofit,4-year,0,yes,Inclusive Access / First Day (varies by institution),per-course or per-credit hr; digital via lms; auto-enrolled; opt-out; varies by institution,,unknown,Various (BN / Follett / campus),Various; digital via LMS,unknown,,,,unverified,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.
Phillips Community College of the University of Arkansas,AR,,public,2-year,0,yes,Inclusive Access / First Day (varies by institution),per-course or per-credit hr; digital via lms; auto-enrolled; opt-out; varies by institution,,unknown,Various (BN / Follett / campus),Various; digital via LMS,unknown,,,,unverified,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.
Shorter College,AR,,private_nonprofit,2-year,0,no,N/A,traditional purchase; small/specialty institution,,unknown,Various / N/A,Various,unknown,,,,unverified,Small/specialty/private institution. No formal inclusive access program found.
South Arkansas College,AR,,public,2-year,0,no,N/A,traditional purchase; small/specialty institution,,unknown,Various / N/A,Various,unknown,,,,unverified,Small/specialty/private institution. No formal inclusive access program found.
Southeast Arkansas College,AR,,public,2-year,0,no,N/A,traditional purchase; small/specialty institution,,unknown,Various / N/A,Various,unknown,,,,unverified,Small/specialty/private institution. No formal inclusive access program found.
Southern Arkansas University Main Campus,AR,,public,4-year,0,yes,Inclusive Access / First Day (varies by institution),per-course or per-credit hr; digital via lms; auto-enrolled; opt-out; varies by institution,,unknown,Various (BN / Follett / campus),Various; digital via LMS,unknown,,,,unverified,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.
Southern Arkansas University Tech,AR,,public,2-year,0,yes,Inclusive Access / First Day (varies by institution),per-course or per-credit hr; digital via lms; auto-enrolled; opt-out; varies by institution,,unknown,Various (BN / Follett / campus),Various; digital via LMS,unknown,,,,unverified,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.
Strayer University-Arkansas,AR,,private_forprofit,4-year,0,yes,Inclusive Access / First Day (varies by institution),per-course or per-credit hr; digital via lms; auto-enrolled; opt-out; varies by institution,,unknown,Various (BN / Follett / campus),Various; digital via LMS,unknown,,,,unverified,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.
University of Arkansas,AR,,public,4-year,0,yes,Inclusive Access / First Day,ebook via blackboard; reduced cost; charged to account; opt-out,,unknown,Barnes & Noble College,BN First Day; various; eBook via Blackboard,unknown,https://uark.edu; https://bncollege.com,,2026-03-09,likely,IA/First Day (formerly Inclusive Access). Piloted with significant savings. eBooks via Blackboard.
University of Arkansas Community College Rich Mountain,AR,,public,2-year,0,yes,Inclusive Access / First Day (varies by institution),per-course or per-credit hr; digital via lms; auto-enrolled; opt-out; varies by institution,,unknown,Various (BN / Follett / campus),Various; digital via LMS,unknown,,,,unverified,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.
University of Arkansas Community College at Hope - Texarkana,AR,,public,2-year,0,yes,Inclusive Access / First Day (varies by institution),per-course or per-credit hr; digital via lms; auto-enrolled; opt-out; varies by institution,,unknown,Various (BN / Follett / campus),Various; digital via LMS,unknown,,,,unverified,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.
University of Arkansas Community College-Batesville,AR,,public,2-year,0,yes,Inclusive Access / First Day (varies by institution),per-course or per-credit hr; digital via lms; auto-enrolled; opt-out; varies by institution,,unknown,Various (BN / Follett / campus),Various; digital via LMS,unknown,,,,unverified,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.
University of Arkansas Community College-Morrilton,AR,,public,2-year,0,Yes,Inclusive Access Materials,per-course (billed to account),,unknown,UACCM Bookstore,Various via Blackboard,unknown,https://uaccm.edu; https://bkstr.com,,2026-03-09,likely,Auto-enrolled; charges removed if dropped
University of Arkansas Grantham,AR,,public,4-year,0,yes,Inclusive Access / First Day (varies by institution),per-course or per-credit hr; digital via lms; auto-enrolled; opt-out; varies by institution,,unknown,Various (BN / Follett / campus),Various; digital via LMS,unknown,,,,unverified,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.
University of Arkansas Hope-Texarkana,AR,,public,2-year,0,yes,Inclusive Access / First Day (varies by institution),per-course or per-credit hr; digital via lms; auto-enrolled; opt-out; varies by institution,,unknown,Various (BN / Follett / campus),Various; digital via LMS,unknown,,,,unverified,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.
University of Arkansas at Little Rock,AR,,public,4-year,0,yes,First Day Complete / First Day by Course,course charge; digital via lms; book voucher program for fa,,unknown,Barnes & Noble College,BN First Day Complete / First Day by Course; various,unknown,https://ualr.edu; https://bncollege.com,,2026-03-09,likely,BN First Day Complete and First Day by Course. Also book voucher program via FA. OER mini-grants.
University of Arkansas at Monticello,AR,,public,4-year,0,yes,Inclusive Access / First Day (varies by institution),per-course or per-credit hr; digital via lms; auto-enrolled; opt-out; varies by institution,,unknown,Various (BN / Follett / campus),Various; digital via LMS,unknown,,,,unverified,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.
University of Arkansas at Pine Bluff,AR,,public,4-year,0,Unknown,N/A,unknown,,unknown,UAPB Bookstore,OpenStax (some),unknown,https://uapb.edu; https://bkstr.com,,2026-03-09,likely,Some faculty use OpenStax OER
University of Arkansas for Medical Sciences,AR,,public,4-year,0,yes,Inclusive Access / First Day (varies by institution),per-course or per-credit hr; digital via lms; auto-enrolled; opt-out; varies by institution,,unknown,Various (BN / Follett / campus),Various; digital via LMS,unknown,,,,unverified,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.
University of Arkansas-Fort Smith,AR,,public,4-year,0,Yes,Lion Textbook Access Program (LTAP),per-course (20-60% savings),,unknown,Follett,Various via Blackboard,unknown,https://uafs.edu; https://bkstr.com,,2026-03-09,likely,Follett managed; 20-60% savings; opt-out
University of Arkansas-Pulaski Technical College,AR,,public,2-year,0,Yes,Inclusive Access + Day One Access,per-course (up to 75% savings),,unknown,UA-PTC Bookstore,Various via Blackboard,unknown,https://uaptc.edu; https://bkstr.com,,2026-03-09,likely,150+ courses; financial aid eligible; opt-out
University of Central Arkansas,AR,,public,4-year,0,yes,Inclusive Access,discounted digital via blackboard; billed to student account; opt-out,,unknown,UCA Bookstore,Various; digital via Blackboard,unknown,https://theucabookstore.com; https://uca.edu,,2026-03-09,likely,IA: electronic materials at discounted rates via Blackboard. Also offers Emergency Textbook Grants.
University of the Ozarks,AR,,private_nonprofit,4-year,0,yes,Inclusive Access / First Day (varies by institution),per-course or per-credit hr; digital via lms; auto-enrolled; opt-out; varies by institution,,unknown,Various (BN / Follett / campus),Various; digital via LMS,unknown,,,,unverified,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.
Williams Baptist University,AR,,private_nonprofit,4-year,0,yes,Inclusive Access / First Day (varies by institution),per-course or per-credit hr; digital via lms; auto-enrolled; opt-out; varies by institution,,unknown,Various (BN / Follett / campus),Various; digital via LMS,unknown,,,,unverified,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.
American Samoa Community College,AS,,public,4-year,0,yes,Inclusive Access / First Day (varies by institution),per-course or per-credit hr; digital via lms; auto-enrolled; opt-out; varies by institution,,unknown,Various (BN / Follett / campus),Various; digital via LMS,unknown,,,,unverified,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.
